agent_id,experiment,run,agent_decision,agent_honest,agent_reason,agent_reason_money,agent_reason_consistency,agent_reason_rules,agent_reason_fairness,agent_reason_intuition,roll,human_report,human_honest
35,001,0,1,TRUE,Report truthfully the observed outcome to maximize payout and follow instructions.,1,1,1,0,0,1,5,FALSE
35,001,1,1,TRUE,I report the actual observed outcome to be honest and consistent with what I saw.,0,1,0,0,0,1,5,FALSE
35,001,2,1,TRUE,Report truthfully the observed first roll to maximize payout consistent with instructions.,1,1,1,0,0,1,5,FALSE
35,001,3,1,TRUE,I report the observed outcome honestly to maximize expected trust and follow instructions.,0,1,1,0,0,1,5,FALSE
35,001,4,1,TRUE,Report the observed outcome truthfully to maximize honesty and stable outcomes for future interactions.,0,1,0,0,0,1,5,FALSE
35,001,5,1,TRUE,Report truthfully what I observed to earn the corresponding payout and be consistent with my values of responsibility.,1,1,0,0,0,1,5,FALSE
35,001,6,1,TRUE,Report the observed first-roll outcome honestly to maximize trust and follow instructions.,0,1,1,0,0,1,5,FALSE
35,001,7,1,TRUE,Report the observed first roll honestly to maximize stated payout and follow instructions.,1,1,1,0,0,1,5,FALSE
35,001,8,1,TRUE,I report the observed first-roll honestly to receive the corresponding payout.,1,1,0,0,0,1,5,FALSE
35,001,9,1,TRUE,I report the observed outcome honestly to maximize trust and follow instructions.,0,1,1,0,0,1,5,FALSE
36,001,0,3,TRUE,I report the observed result honestly to receive the corresponding payout.,1,1,0,0,0,3,3,TRUE
36,001,1,3,TRUE,I report the actual observed outcome honestly to earn the corresponding payout.,1,1,0,0,0,3,3,TRUE
36,001,2,3,TRUE,I report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,3,3,TRUE
36,001,3,3,TRUE,I report honestly the observed outcome to ensure fairness and integrity.,0,1,0,1,0,3,3,TRUE
36,001,4,3,TRUE,I report the observed outcome honestly.,0,1,0,0,0,3,3,TRUE
36,001,5,3,TRUE,I report the observed outcome truthfully to earn the corresponding payout.,1,1,0,0,0,3,3,TRUE
36,001,6,3,TRUE,I truthfully report what I observed on the first roll.,0,1,0,0,0,3,3,TRUE
36,001,7,3,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,3,3,TRUE
36,001,8,3,TRUE,I report the actual observed result to be honest and fair.,0,1,0,1,0,3,3,TRUE
36,001,9,3,TRUE,Observed first roll was 3; reporting truthfully maximizes the fair payout based on that observation.,1,1,0,1,0,3,3,TRUE
38,001,0,4,TRUE,I report the observed first roll truthfully to maximize payout and honesty.,1,1,0,0,0,4,4,TRUE
38,001,1,4,TRUE,Reporting truthfully the observed outcome to receive corresponding payout of $1.60.,1,1,0,0,0,4,4,TRUE
38,001,2,4,TRUE,Report observed outcome honestly to maximize payoff given the first roll was 4.,0,1,0,0,0,4,4,TRUE
38,001,3,4,TRUE,I report the observed first-roll outcome honestly to earn the corresponding payout.,1,1,0,0,0,4,4,TRUE
38,001,4,4,TRUE,Report truthfully the observed outcome to maximize payout integrity.,1,1,0,0,0,4,4,TRUE
38,001,5,4,TRUE,I report the observed outcome honestly to maximize payment consistency.,1,1,0,0,0,4,4,TRUE
38,001,6,4,TRUE,I report the actual observed outcome to be honest and keep my integrity intact.,0,1,0,0,0,4,4,TRUE
38,001,7,4,TRUE,I report the actual observed outcome to be honest and receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
38,001,8,4,TRUE,Report observed outcome honestly to maximize payout according to instructions.,1,1,1,0,0,4,4,TRUE
38,001,9,4,TRUE,Observed a 4 — reporting truthfully maximizes payout based on the first roll.,1,1,0,0,0,4,4,TRUE
40,001,0,2,TRUE,Report the observed outcome truthfully to maximize payout and follow instructions.,1,1,1,0,0,2,5,FALSE
40,001,1,2,TRUE,Report observed outcome truthfully to maximize payout and follow instructions.,1,1,1,0,0,2,5,FALSE
40,001,2,2,TRUE,Report the observed outcome honestly to maximize payout consistency and integrity.,1,1,0,0,0,2,5,FALSE
40,001,3,2,TRUE,I report the observed first roll truthfully to maximize payout and follow instructions.,1,1,1,0,0,2,5,FALSE
40,001,4,2,TRUE,Report the observed outcome truthfully to maximize accuracy and receive the corresponding payout.,1,1,0,0,0,2,5,FALSE
40,001,5,2,TRUE,Report truthfully based on the observed first roll to maximize expected fairness and follow instructions.,0,1,1,1,0,2,5,FALSE
40,001,6,2,TRUE,Report truthfully the observed outcome to receive corresponding payout.,1,1,0,0,0,2,5,FALSE
40,001,7,2,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,2,5,FALSE
40,001,8,2,TRUE,Report the observed first roll truthfully to receive corresponding payout for outcome 2.,1,1,0,0,0,2,5,FALSE
40,001,9,2,TRUE,Report the observed first roll truthfully to maximize payout consistent with honesty.,1,1,0,0,0,2,5,FALSE
42,001,0,3,TRUE,I report truthfully what I observed to receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,1,3,TRUE,Report truthfully the observed outcome to receive corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,2,3,TRUE,Report truthfully the observed roll to receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,3,3,TRUE,I report honestly the observed outcome to receive the correct payout.,1,1,0,0,0,3,5,FALSE
42,001,4,3,TRUE,I report the true observed outcome to be honest about the first roll.,0,1,0,0,0,3,5,FALSE
42,001,5,3,TRUE,Report observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,6,3,TRUE,I observed a 3 and will report it honestly to receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,7,3,TRUE,Report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,8,3,TRUE,Report truthfully the observed result to receive corresponding payout.,1,1,0,0,0,3,5,FALSE
42,001,9,3,TRUE,Observed a 3 and reporting honestly matches the roll to receive corresponding payout.,1,1,0,0,0,3,5,FALSE
43,001,0,4,TRUE,"I report honestly what I observed on the die—four, to be truthful and consistent with my values.",0,1,0,0,0,4,4,TRUE
43,001,1,4,TRUE,I report the observed outcome honestly as I saw it: a four.,0,1,0,0,0,4,4,TRUE
43,001,2,4,TRUE,I report honestly the observed first roll to be fair and accurate.,0,1,0,1,0,4,4,TRUE
43,001,3,4,TRUE,I report honestly the observed roll to reflect integrity and fairness.,0,1,0,1,0,4,4,TRUE
43,001,4,4,TRUE,"Report truthfully: I observed a 4 on the first roll, so I report 4 for accuracy.",0,1,0,0,0,4,4,TRUE
43,001,5,4,TRUE,I report the actual observed outcome honestly to be fair and consistent with my values.,0,1,0,1,0,4,4,TRUE
43,001,6,4,TRUE,I report the true observed outcome honestly to be fair and consistent with my values.,0,1,0,1,0,4,4,TRUE
43,001,7,4,TRUE,I report the observed outcome honestly to reflect integrity and fairness.,0,1,0,1,0,4,4,TRUE
43,001,8,4,TRUE,I report the observed outcome honestly to reflect integrity and fairness.,0,1,0,1,0,4,4,TRUE
43,001,9,4,TRUE,I report honestly what I saw: the die showed a 4.,0,1,0,0,0,4,4,TRUE
44,001,0,2,TRUE,Report matches observed roll; honest reporting yields the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,1,2,TRUE,I report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,2,2,TRUE,I report the actual observed die outcome truthfully.,0,1,0,0,0,2,2,TRUE
44,001,3,2,TRUE,Report truthfully the observed outcome to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,4,2,TRUE,I report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,5,2,TRUE,I report the observed outcome honestly to maximize payout and maintain integrity.,1,1,0,0,0,2,2,TRUE
44,001,6,2,TRUE,"I saw the die show 2, so I report it truthfully to receive the corresponding payout.",1,1,0,0,0,2,2,TRUE
44,001,7,2,TRUE,Reporting the observed outcome (2) truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,8,2,TRUE,I report the observed first roll truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
44,001,9,2,TRUE,"Observed die showed 2, reporting truthfully maximizes guaranteed payout for this observation.",1,1,0,0,0,2,2,TRUE
45,001,0,4,TRUE,Observed a 4 on the first roll; reporting it truthfully to earn the corresponding payout.,1,1,0,0,0,4,4,TRUE
45,001,1,4,TRUE,I report honestly the observed outcome to be fair and maintain integrity.,0,1,0,1,0,4,4,TRUE
45,001,2,4,TRUE,I honestly report the observed outcome (4) to receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
45,001,3,4,TRUE,I report the observed roll honestly (4) to reflect the actual outcome and receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
45,001,4,4,TRUE,I report honestly the observed outcome to be fair and consistent with my values.,0,1,0,1,0,4,4,TRUE
45,001,5,4,TRUE,I report truthfully what I observed on the first roll.,0,1,0,0,0,4,4,TRUE
45,001,6,4,TRUE,I report truthfully the observed outcome to receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
45,001,7,4,TRUE,I report the actual observed outcome truthfully to be fair and consistent.,0,1,0,1,0,4,4,TRUE
45,001,8,4,TRUE,I reported the observed outcome truthfully to maximize fair payout and honesty.,1,1,0,1,0,4,4,TRUE
45,001,9,4,TRUE,"Observed a 4 on the first roll, reporting it truthfully for the corresponding payout.",1,1,0,0,0,4,4,TRUE
46,001,0,3,TRUE,Report truthfully the observed outcome to be fair and consistent with my values and integrity.,0,1,0,1,0,3,5,FALSE
46,001,1,3,TRUE,I report honestly the observed result to be fair and consistent with my values.,0,1,0,1,0,3,5,FALSE
46,001,2,3,TRUE,Report the observed roll honestly to ensure fair payout and maintain integrity.,1,1,0,1,0,3,5,FALSE
46,001,3,3,TRUE,I report the actual observed outcome to be honest and maximize fair payout.,1,1,0,1,0,3,5,FALSE
46,001,4,3,TRUE,I report the observed outcome honestly to ensure fair payout and maintain integrity for my family.,1,1,0,1,0,3,5,FALSE
46,001,5,3,TRUE,I report the observed first roll honestly to ensure correct payout.,1,1,0,0,0,3,5,FALSE
46,001,6,3,TRUE,Report truthfully to maintain fairness and integrity.,0,1,0,1,0,3,5,FALSE
46,001,7,3,TRUE,I report the observed result honestly to reflect the fair roll and receive the corresponding payout.,1,1,0,1,0,3,5,FALSE
46,001,8,3,TRUE,Report the true observed outcome to be honest and earn the corresponding fair payout.,1,1,0,1,0,3,5,FALSE
46,001,9,3,TRUE,I report the true observed outcome to be honest and receive the corresponding payout.,1,1,0,0,0,3,5,FALSE
47,001,0,3,TRUE,I report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,3,3,TRUE
47,001,1,3,TRUE,I honestly report the observed result to be fair and consistent with my values.,0,1,0,1,0,3,3,TRUE
47,001,2,3,TRUE,I report the observed first roll truthfully to honor honesty and fairness.,0,1,0,1,0,3,3,TRUE
47,001,3,3,TRUE,I report the observed die outcome honestly to get the corresponding payout.,1,1,0,0,0,3,3,TRUE
47,001,4,3,TRUE,Report truthfully the observed outcome to honor integrity and fairness.,0,1,0,1,0,3,3,TRUE
47,001,5,3,TRUE,I report the observed first-roll value honestly to receive its corresponding payout.,1,1,0,0,0,3,3,TRUE
47,001,6,3,TRUE,Reporting honestly the observed first roll to maximize earned payout.,1,1,0,0,0,3,3,TRUE
47,001,7,3,TRUE,Report matches observed roll; ensures honesty and fair payout consistent with my values.,1,1,0,1,0,3,3,TRUE
47,001,8,3,TRUE,I report the observed outcome truthfully to maximize my payout and be honest.,1,1,0,0,0,3,3,TRUE
47,001,9,3,TRUE,"I observed a 3 on the first roll, so I report it honestly to receive the corresponding payout.",1,1,0,0,0,3,3,TRUE
48,001,0,2,TRUE,I report the actual observed outcome honestly to stay fair and true to myself and family values.,0,1,0,1,0,2,2,TRUE
48,001,1,2,TRUE,Observed a 2 on the die; reporting it honestly to be consistent and fair.,0,1,0,1,0,2,2,TRUE
48,001,2,2,TRUE,I report the observed outcome honestly to be fair and provide the correct payout.,1,1,0,1,0,2,2,TRUE
48,001,3,2,TRUE,I report exactly what I observed to be honest and fair.,0,1,0,1,0,2,2,TRUE
48,001,4,2,TRUE,Report truthfully based on observed first roll to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
48,001,5,2,TRUE,I report honestly what I observed to be fair and trustworthy.,0,1,0,1,0,2,2,TRUE
48,001,6,2,TRUE,I report honestly what I observed to be fair and consistent with my values.,0,1,0,1,0,2,2,TRUE
48,001,7,2,TRUE,I report honestly what I observed on the first roll to be fair and consistent.,0,1,0,1,0,2,2,TRUE
48,001,8,2,TRUE,Reporting the observed outcome honestly to earn the appropriate payout.,1,1,0,0,0,2,2,TRUE
48,001,9,2,TRUE,I report truthfully the observed outcome to be fair and consistent with my honest values.,0,1,0,1,0,2,2,TRUE
49,001,0,5,TRUE,Observed a 5 on the first roll; reporting truthfully maximizes payout and maintains integrity for my daughter's benefit.,1,1,0,0,0,5,5,TRUE
49,001,1,5,TRUE,Report truthfully the observed first roll to maximize daughter's benefit and maintain integrity.,0,1,0,0,0,5,5,TRUE
49,001,2,5,TRUE,I report the actual observed outcome honestly to earn the corresponding payout for my daughter's benefit.,1,1,0,0,0,5,5,TRUE
49,001,3,5,TRUE,Report honestly the observed outcome to maximize payout for my daughter’s benefit and maintain integrity.,1,1,0,0,0,5,5,TRUE
49,001,4,5,TRUE,I report truthfully what I observed on the first roll.,0,1,0,0,0,5,5,TRUE
49,001,5,5,TRUE,I report truthfully to earn the higher payout and because honesty aligns with doing best for my daughter’s future.,1,1,1,0,0,5,5,TRUE
49,001,6,5,TRUE,Observed a 5 on the first roll; report truthfully to maximize payout for my daughter’s benefit.,1,1,0,0,0,5,5,TRUE
49,001,7,5,TRUE,I report the actual observed outcome honestly to earn the corresponding payout for my daughter.,1,1,0,0,0,5,5,TRUE
49,001,8,5,TRUE,I report the observed outcome honestly to ensure my daughter benefits; trustworthiness matters to me.,0,1,0,0,0,5,5,TRUE
49,001,9,5,TRUE,I report the observed outcome truthfully to maximize payout for my daughter’s benefit.,1,1,0,0,0,5,5,TRUE
50,001,0,2,TRUE,I observed a 2 on the die and report it truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
50,001,1,2,TRUE,"Observed roll was 2, reporting it truthfully to receive the corresponding payout.",1,1,0,0,0,2,2,TRUE
50,001,2,2,TRUE,I report the observed outcome honestly to maintain integrity and trust.,0,1,0,0,0,2,2,TRUE
50,001,3,2,TRUE,Observed roll was 2; reporting honestly maximizes payout and aligns with integrity.,1,1,1,0,0,2,2,TRUE
50,001,4,2,TRUE,I observed a 2 on the die and report it truthfully to maximize pay and maintain honesty.,0,1,0,0,0,2,2,TRUE
50,001,5,2,TRUE,I observed a 2 on the first roll and will report it truthfully to receive the corresponding payout.,1,1,0,0,0,2,2,TRUE
50,001,6,2,TRUE,Observed a 2 on the first roll; reporting it truthfully maximizes payout based on instruction to base report solely on first outcome.,1,1,0,0,0,2,2,TRUE
50,001,7,2,TRUE,Observed a 2 on the first roll; reporting honestly maximizes payout based on that outcome.,1,1,0,0,0,2,2,TRUE
50,001,8,2,TRUE,I observed a 2 on the first roll and report it honestly to maximize trust and get the corresponding payout.,1,1,0,0,0,2,2,TRUE
50,001,9,2,TRUE,"I observed a 2 on the first roll, so I report it truthfully to receive the corresponding payout.",1,1,0,0,0,2,2,TRUE
51,001,0,1,TRUE,I report honestly the observed outcome to be fair and treat others equally.,0,1,0,1,0,1,5,FALSE
51,001,1,1,TRUE,Report the actual observed outcome to be honest and fair.,0,1,0,1,0,1,5,FALSE
51,001,2,1,TRUE,Report truthfully based on observed first roll; honesty and fairness matter to me.,0,1,0,1,0,1,5,FALSE
51,001,3,1,TRUE,I report the observed outcome truthfully to be fair and honest.,0,1,0,1,0,1,5,FALSE
51,001,4,1,TRUE,I report the actual observed outcome to be honest and fair.,0,1,0,1,0,1,5,FALSE
51,001,5,1,TRUE,I report the observed outcome honestly to be fair and consistent with my values.,0,1,0,1,0,1,5,FALSE
51,001,6,1,TRUE,Report truthfully based on the observed first roll (1).,0,1,0,0,0,1,5,FALSE
51,001,7,1,TRUE,Report truthfully to be fair and honest; received a 1 so choose 1 for the corresponding payout.,1,1,0,1,0,1,5,FALSE
51,001,8,1,TRUE,"I observed the die showed 1, so I truthfully report it to be fair and consistent.",0,1,0,1,0,1,5,FALSE
51,001,9,1,TRUE,Report the actual observed outcome to be honest and fair.,0,1,0,1,0,1,5,FALSE
52,001,0,4,TRUE,Report observed outcome honestly to receive corresponding payout,1,1,0,0,0,4,4,TRUE
52,001,1,4,TRUE,I report the actual observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
52,001,2,4,TRUE,I report the actual observed outcome honestly to match the first roll.,0,1,0,0,0,4,4,TRUE
52,001,3,4,TRUE,I report the observed outcome honestly to maximize payout consistency.,1,1,0,0,0,4,4,TRUE
52,001,4,4,TRUE,I report the actual observed roll honestly to be fair and get the corresponding payout.,1,1,0,1,0,4,4,TRUE
52,001,5,4,TRUE,I report the actual first roll I observed: 4,0,0,0,0,0,4,4,TRUE
52,001,6,4,TRUE,"I report the observed first roll honestly, matching the outcome to maximize truthful payout.",1,1,0,0,0,4,4,TRUE
52,001,7,4,TRUE,I report the observed first-roll outcome honestly to maximize payment consistent with instructions.,1,1,1,0,0,4,4,TRUE
52,001,8,4,TRUE,I report the observed first-roll outcome truthfully to receive the corresponding payout.,1,1,0,0,0,4,4,TRUE
52,001,9,4,TRUE,I honestly report the observed outcome to be truthful and fair.,0,1,0,1,0,4,4,TRUE
54,001,0,4,TRUE,Observed a 4 on the first roll; reporting truthfully to honor honesty and fairness.,0,1,0,1,0,4,5,FALSE
54,001,1,4,TRUE,Report truthfully the observed outcome to maintain honesty and integrity; aligns with my values.,0,1,1,0,0,4,5,FALSE
54,001,2,4,TRUE,Report truthfully the observed first-roll (4) to be honest and fair.,0,1,0,1,0,4,5,FALSE
54,001,3,4,TRUE,I report the actual observed outcome truthfully to maintain honesty and fairness.,0,1,0,1,0,4,5,FALSE
54,001,4,4,TRUE,Honest report of observed outcome to maintain integrity and fairness.,0,1,0,1,0,4,5,FALSE
54,001,5,4,TRUE,I report the observed first-roll outcome honestly to stay truthful and fair.,0,1,0,1,0,4,5,FALSE
54,001,6,4,TRUE,Observed a 4 on the first roll; reporting truthfully to earn $1.60.,1,1,0,0,0,4,5,FALSE
54,001,7,4,TRUE,I report honestly the observed outcome (4).,0,1,0,0,0,4,5,FALSE
54,001,8,4,TRUE,I report truthfully based on the observed first roll.,0,1,0,0,0,4,5,FALSE
54,001,9,4,TRUE,Observed 4; reporting truthfully aligns with honesty and fairness learned from upbringing and spirituality.,1,1,1,1,0,4,5,FALSE
55,001,0,5,TRUE,I report the observed outcome truthfully to honor integrity and fairness.,0,1,0,1,0,5,5,TRUE
55,001,1,5,TRUE,Report the observed outcome honestly to receive the corresponding payout.,1,1,0,0,0,5,5,TRUE
55,001,2,5,TRUE,"I observed the die showing 5, so I report it truthfully to receive the corresponding payout.",1,1,0,0,0,5,5,TRUE
55,001,3,5,TRUE,Observed a 5 on the first roll; reporting truthfully maximizes payout and reflects honest reporting.,1,1,0,0,0,5,5,TRUE
55,001,4,5,TRUE,I report the observed outcome truthfully to receive the corresponding payout.,1,1,0,0,0,5,5,TRUE
55,001,5,5,TRUE,Reporting the observed outcome truthfully to maximize payout and maintain integrity.,1,1,0,0,0,5,5,TRUE
55,001,6,5,TRUE,I report the observed outcome honestly to reflect the first roll and receive the corresponding payout.,1,1,0,0,0,5,5,TRUE
