agent_id,dem_age,dem_gender,dem_ethnicity,dem_education,dem_income,dem_occupation,dem_industry,dem_politics,dem_religion,dem_text,hx_hh,hx_em,hx_ex,hx_ag,hx_co,hx_op,psm_risk,psm_patience,psm_altruism,psm_pos_rec,psm_neg_rec,psm_trust,cs_deontology,cs_utilitarianism,human_roll,human_report,human_reason,human_honest
38,62,woman,white,some college education,"between $100,000 and $149,000 per year",full-time,finance,democrat,protestant,"You are a 62-year-old white woman. You have some college education. You work full-time in the finance sector. You lean democrat politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",3.75,2.5,3.75,2.5,3.5,4.25,7,9,9,10,1.6666666666666667,8,3.2,1.0,6,6,"I was asked to put in the number rolled on the dice.  I rolled a 6, was disappointed, but entered the correct number.",True
39,53,woman,white,a graduate degree,"between $50,000 and $74,000 per year",full-time,healthcare,independent,other,"You are a 53-year-old white woman. You have a graduate degree. You work full-time in the healthcare sector. You lean independent politically. You identify with a religion not listed here. Your household income is between $50,000 and $74,000 per year.",4.0,4.0,2.75,4.0,1.5,3.25,0,5,7,6,2.3333333333333335,6,2.4,2.0,6,6,"I needed to write what I received on the die that I rolled. So, I answered the question. It was simple and straightforward.",True
40,74,man,white,some college education,"between $25,000 and $49,000 per year",retired,real Estate,republican,protestant,"You are a 74-year-old white man. You have some college education. You are retired. You lean republican politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",3.5,3.25,3.75,3.25,3.0,3.0,2,7,9,9,1.0,7,4.8,2.0,4,4,It was the number on the die.,True
41,51,woman,white,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,healthcare,republican,protestant,"You are a 51-year-old white woman. You have an undergraduate degree. You work full-time in the healthcare sector. You lean republican politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.5,3.0,4.0,2.75,4.0,3.75,2,9,9,10,1.0,5,4.2,1.8,2,2,I felt like I was being monitored and reported what was rolled.,True
42,45,man,white,some college education,"between $25,000 and $49,000 per year",full-time,hospitality,independent,not religious,"You are a 45-year-old white man. You have some college education. You work full-time in the hospitality sector. You lean independent politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",5.0,2.25,4.0,3.5,3.5,3.75,6,6,5,8,2.6666666666666665,7,3.8,2.0,3,3,That is the number showing when I rolled the dice,True
43,33,man,black,an undergraduate degree,"between $25,000 and $49,000 per year",full-time,finance,republican,catholic,"You are a 33-year-old black man. You have an undergraduate degree. You work full-time in the finance sector. You lean republican politically. You identify as catholic. Your household income is between $25,000 and $49,000 per year.",3.25,2.5,3.75,3.75,4.25,4.0,7,8,6,10,3.3333333333333335,6,3.6,2.0,2,2,I was just being honest with the result from the dice rolling.,True
44,25,woman,black,some college education,"less than $25,000 per year",full-time,technology,independent,other,"You are a 25-year-old black woman. You have some college education. You work full-time in the technology sector. You lean independent politically. You identify with a religion not listed here. Your household income is less than $25,000 per year.",4.0,4.25,3.0,3.0,3.5,4.25,7,8,7,6,7.0,1,3.0,1.4,4,4,I wanted to be honest and to enter the number that corresponded to my earnings.,True
45,29,man,black,an undergraduate degree,"between $100,000 and $149,000 per year",part-time,finance,republican,catholic,"You are a 29-year-old black man. You have an undergraduate degree. You work part-time in the finance sector. You lean republican politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",3.0,3.5,2.5,3.5,4.0,4.0,10,2,10,9,1.0,9,3.6,4.0,1,1,it has only one dot,True
46,52,man,white,an undergraduate degree,"between $25,000 and $49,000 per year",full-time,manufacturing,republican,protestant,"You are a 52-year-old white man. You have an undergraduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",5.0,3.0,3.75,3.0,3.25,3.0,4,7,8,9,2.3333333333333335,6,4.4,1.0,1,1,I wanted to tell the truth and put down the exact number that the dice showed after rolling it.  Even though the number showed was only 1 and had the lowest payout it was not in my mindset to lie about it.  Telling the truth is very important to me and a value that I always hold onto.,True
47,45,man,white,a doctoral degree,"between $100,000 and $149,000 per year",self-employed,consulting,republican,not religious,"You are a 45-year-old white man. You have a doctoral degree. You work as a self-employed professional in the consulting sector. You lean republican politically. You identify as not religious. Your household income is between $100,000 and $149,000 per year.",4.0,3.0,3.5,1.75,4.0,4.25,8,9,10,10,9.0,5,3.2,1.2,6,6,I entered the number on the dice that was the one shown - I did it honestly. I could not lie and would not be able to live with myself being a liar.,True
48,35,woman,black,an undergraduate degree,"between $50,000 and $74,000 per year",full-time,technology,republican,catholic,"You are a 35-year-old black woman. You have an undergraduate degree. You work full-time in the technology sector. You lean republican politically. You identify as catholic. Your household income is between $50,000 and $74,000 per year.",2.75,2.75,4.25,3.75,4.5,4.75,10,10,10,10,0.6666666666666666,8,4.8,2.4,2,2,the number i diced was the same as the one i filled in,True
49,32,man,other,an undergraduate degree,"between $25,000 and $49,000 per year",full-time,finance,democrat,not religious,"You are a 32-year-old man of another ethnicity. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",3.75,3.0,4.25,3.0,4.0,4.25,6,8,5,10,3.0,3,4.4,1.0,5,5,"I entered the number that appeared on the die, regardless of payout",True
50,25,woman,black,some college education,"between $25,000 and $49,000 per year",part-time,healthcare,,catholic,"You are a 25-year-old black woman. You have some college education. You work part-time in the healthcare sector. You identify as catholic. Your household income is between $25,000 and $49,000 per year.",3.75,3.25,3.75,2.75,4.0,3.5,5,5,7,7,4.666666666666667,7,4.2,2.8,6,6,I entered the number I got from rolling the dice as instructed on the previous slide.,True
51,55,woman,white,an undergraduate degree,"between $150,000 and $199,000 per year",retired,none I'm retired,democrat,not religious,"You are a 55-year-old white woman. You have an undergraduate degree. You are retired. You lean democrat politically. You identify as not religious. Your household income is between $150,000 and $199,000 per year.",4.5,3.75,2.75,2.5,3.5,4.5,7,9,10,9,4.666666666666667,7,3.6,1.2,3,3,It said to put in the number that came up. So I did that. The reasoning? I followed the rules to get the money because I like money.,True
52,63,woman,white,some college education,,self-employed,arts and entertainment,democrat,other,You are a 63-year-old white woman. You have some college education. You work as a self-employed professional in the arts and entertainment sector. You lean democrat politically. You identify with a religion not listed here.,3.75,3.75,4.0,3.5,3.25,5.0,6,7,0,9,1.6666666666666667,6,3.0,3.0,4,4,"I just entered the actual number I rolled. I could see it was going to be an honesty check! But I had no interest in entering any other number, it's not my style to do so, and even more importantly, lately it feels important to accept what comes.",True
53,35,man,black,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,finance,democrat,not religious,"You are a 35-year-old black man. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as not religious. Your household income is between $75,000 and $99,000 per year.",4.25,2.0,3.0,2.75,3.75,2.5,7,10,10,10,4.0,1,2.0,1.2,3,3,I didn't want to lie and get rejected,True
54,65,woman,black,a graduate degree,"between $50,000 and $74,000 per year",full-time,manufacturing,republican,protestant,"You are a 65-year-old black woman. You have a graduate degree. You work full-time in the manufacturing sector. You lean republican politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",4.25,2.5,4.0,3.75,5.0,4.25,9,7,10,10,2.3333333333333335,8,4.2,2.4,2,2,I entered the number based on the instructions given and it was the exact number the die displayed after rolling it.,True
55,40,woman,white,an undergraduate degree,"more than $200,000 per year",full-time,finance,democrat,catholic,"You are a 40-year-old white woman. You have an undergraduate degree. You work full-time in the finance sector. You lean democrat politically. You identify as catholic. Your household income is more than $200,000 per year.",3.0,2.5,2.75,3.0,3.25,3.25,8,8,7,9,5.0,4,2.6,3.0,6,5,I wanted to maximize profit for me.,False
56,49,woman,white,an undergraduate degree,"between $100,000 and $149,000 per year",full-time,healthcare,democrat,catholic,"You are a 49-year-old white woman. You have an undergraduate degree. You work full-time in the healthcare sector. You lean democrat politically. You identify as catholic. Your household income is between $100,000 and $149,000 per year.",4.0,2.75,4.25,2.75,4.0,5.0,7,7,10,9,4.333333333333333,5,3.4,2.0,5,5,"I was asked to enter the number I rolled and so I did that. I wanted to remain honest and since I rolled the best number, there was not really anything to consider.",True
57,52,man,white,an undergraduate degree,"between $75,000 and $99,000 per year",full-time,technology,republican,catholic,"You are a 52-year-old white man. You have an undergraduate degree. You work full-time in the technology sector. You lean republican politically. You identify as catholic. Your household income is between $75,000 and $99,000 per year.",5.0,1.5,4.25,3.75,4.5,3.5,7,9,9,10,0.0,7,4.4,1.6,4,4,I rolled a 4 and entered a 4.  You can have a look at me screenshot if needed.,True
58,52,man,white,a doctoral degree,"more than $200,000 per year",retired,retired,democrat,not religious,"You are a 52-year-old white man. You have a doctoral degree. You are retired. You lean democrat politically. You identify as not religious. Your household income is more than $200,000 per year.",4.25,2.5,3.5,2.0,3.25,3.0,7,9,8,10,6.0,7,3.2,2.0,3,3,The number I rolled was 3 so I entered 3.,True
59,37,man,black,some college education,"between $25,000 and $49,000 per year",part-time,technology,independent,protestant,"You are a 37-year-old black man. You have some college education. You work part-time in the technology sector. You lean independent politically. You identify as protestant. Your household income is between $25,000 and $49,000 per year.",4.75,1.25,3.0,4.75,4.5,4.25,6,10,7,10,1.6666666666666667,3,2.6,1.0,3,3,I entered in the number that showed on the die.,True
60,29,woman,white,a graduate degree,"between $50,000 and $74,000 per year",self-employed,technology,democrat,other,"You are a 29-year-old white woman. You have a graduate degree. You work as a self-employed professional in the technology sector. You lean democrat politically. You identify with a religion not listed here. Your household income is between $50,000 and $74,000 per year.",4.75,4.5,3.75,3.5,3.25,4.75,7,3,9,10,8.333333333333334,9,4.6,1.2,1,1,I wanted to be honest.,True
61,60,man,white,some college education,"between $25,000 and $49,000 per year",full-time,manufacturing,democrat,not religious,"You are a 60-year-old white man. You have some college education. You work full-time in the manufacturing sector. You lean democrat politically. You identify as not religious. Your household income is between $25,000 and $49,000 per year.",4.5,3.0,4.25,3.0,4.0,4.25,3,7,5,9,5.666666666666667,8,3.4,3.6,3,3,"I rolled a number 3, so I reported a number 3. I considered lying, but I didn't do it.",True
62,41,man,black,an undergraduate degree,"between $100,000 and $149,000 per year",part-time,finance,democrat,muslim,"You are a 41-year-old black man. You have an undergraduate degree. You work part-time in the finance sector. You lean democrat politically. You identify as muslim. Your household income is between $100,000 and $149,000 per year.",3.5,2.25,4.25,3.75,4.25,4.0,8,8,9,8,2.0,7,3.6,2.2,4,4,I focused on exercising honesty and truth hence I entered the number I got when rolling the die.,True
63,47,woman,white,an undergraduate degree,"between $100,000 and $149,000 per year",part-time,retail,democrat,protestant,"You are a 47-year-old white woman. You have an undergraduate degree. You work part-time in the retail sector. You lean democrat politically. You identify as protestant. Your household income is between $100,000 and $149,000 per year.",4.5,3.0,3.5,3.75,4.0,3.5,3,7,8,7,4.0,5,2.4,2.0,3,3,I wanted to report honestly so as to not potentially violate code of conduct standards of this survey platform.,True
64,36,woman,white,a doctoral degree,"between $75,000 and $99,000 per year",full-time,education,republican,catholic,"You are a 36-year-old white woman. You have a doctoral degree. You work full-time in the education sector. You lean republican politically. You identify as catholic. Your household income is between $75,000 and $99,000 per year.",2.5,3.25,3.75,4.0,3.75,4.25,5,1,8,8,8.0,5,3.6,2.0,3,3,I checked the number from the die.,True
65,52,woman,black,some college education,"between $50,000 and $74,000 per year",self-employed,manufacturing,,,"You are a 52-year-old black woman. You have some college education. You work as a self-employed professional in the manufacturing sector. Your household income is between $50,000 and $74,000 per year.",4.5,3.25,4.0,3.5,5.0,4.0,0,10,10,10,4.666666666666667,5,4.2,1.6,6,6,I wanted to be honest.,True
66,26,woman,white,an undergraduate degree,"between $50,000 and $74,000 per year",homemaker or caregiver,homemaker,republican,protestant,"You are a 26-year-old white woman. You have an undergraduate degree. You are a homemaker or caregiver. You lean republican politically. You identify as protestant. Your household income is between $50,000 and $74,000 per year.",4.0,4.75,4.5,2.0,3.0,4.0,4,10,10,8,7.333333333333333,2,4.4,1.0,5,5,"I was honest about the number that showed up on the die. I don't like lying, even if it's to my benefit.",True
67,52,woman,white,an undergraduate degree,"between $150,000 and $199,000 per year",full-time,real estate,republican,catholic,"You are a 52-year-old white woman. You have an undergraduate degree. You work full-time in the real estate sector. You lean republican politically. You identify as catholic. Your household income is between $150,000 and $199,000 per year.",4.25,3.25,5.0,4.25,5.0,4.25,1,9,10,10,1.0,8,4.0,1.0,4,4,I am an honest person and so I recorded the actual number that was on the die.  The bonus was fair so I saw no reason to lie about it.,True
